id,Geography,medianHomeValue
16037,"Custer County, Idaho",166800
16039,"Elmore County, Idaho",137800
16041,"Franklin County, Idaho",164100
16043,"Fremont County, Idaho",147500
16045,"Gem County, Idaho",143000
16047,"Gooding County, Idaho",132200
16049,"Idaho County, Idaho",161300
16051,"Jefferson County, Idaho",160300
16053,"Jerome County, Idaho",139700
16055,"Kootenai County, Idaho",193300
16057,"Latah County, Idaho",195800
16059,"Lemhi County, Idaho",178300
16061,"Lewis County, Idaho",116400
16063,"Lincoln County, Idaho",128900
16065,"Madison County, Idaho",185200
16067,"Minidoka County, Idaho",117400
16069,"Nez Perce County, Idaho",169500
16071,"Oneida County, Idaho",142700
16073,"Owyhee County, Idaho",120500
16075,"Payette County, Idaho",136400
16077,"Power County, Idaho",125100
16079,"Shoshone County, Idaho",117600
16081,"Teton County, Idaho",254600
16083,"Twin Falls County, Idaho",149100
16085,"Valley County, Idaho",246300
16087,"Washington County, Idaho",140600
17001,"Adams County, Illinois",116400
17003,"Alexander County, Illinois",50100
17005,"Bond County, Illinois",107200
17007,"Boone County, Illinois",146600
17009,"Brown County, Illinois",87400
17011,"Bureau County, Illinois",105300
17013,"Calhoun County, Illinois",118100
17015,"Carroll County, Illinois",98300
17017,"Cass County, Illinois",77200
17019,"Champaign County, Illinois",151400
17021,"Christian County, Illinois",85200
17023,"Clark County, Illinois",84600
17025,"Clay County, Illinois",76500
17027,"Clinton County, Illinois",141200
17029,"Coles County, Illinois",92800
17031,"Cook County, Illinois",219800
17033,"Crawford County, Illinois",82000
17035,"Cumberland County, Illinois",91600
17037,"DeKalb County, Illinois",166000
17039,"De Witt County, Illinois",99500
17041,"Douglas County, Illinois",101700
17043,"DuPage County, Illinois",283500
17045,"Edgar County, Illinois",79300
17047,"Edwards County, Illinois",71500
17049,"Effingham County, Illinois",132900
17051,"Fayette County, Illinois",81400
17053,"Ford County, Illinois",97300
17055,"Franklin County, Illinois",68300
17057,"Fulton County, Illinois",82100
17059,"Gallatin County, Illinois",67200
17061,"Greene County, Illinois",77100
17063,"Grundy County, Illinois",183200
17065,"Hamilton County, Illinois",94100
17067,"Hancock County, Illinois",84700
17069,"Hardin County, Illinois",67500
17071,"Henderson County, Illinois",83800
17073,"Henry County, Illinois",112700
17075,"Iroquois County, Illinois",95100
17077,"Jackson County, Illinois",109000
17079,"Jasper County, Illinois",98700
17081,"Jefferson County, Illinois",88500
17083,"Jersey County, Illinois",129900
17085,"Jo Daviess County, Illinois",140700
17087,"Johnson County, Illinois",96000
17089,"Kane County, Illinois",215800
17091,"Kankakee County, Illinois",138900
17093,"Kendall County, Illinois",205500
17095,"Knox County, Illinois",80100
17097,"Lake County, Illinois",246700
17099,"LaSalle County, Illinois",123200
17101,"Lawrence County, Illinois",70800
17103,"Lee County, Illinois",114800
17105,"Livingston County, Illinois",110400
17107,"Logan County, Illinois",97500
17109,"McDonough County, Illinois",93300
17111,"McHenry County, Illinois",208500
17113,"McLean County, Illinois",161800
17115,"Macon County, Illinois",95700
17117,"Macoupin County, Illinois",95500
17119,"Madison County, Illinois",129200
17121,"Marion County, Illinois",72000
17123,"Marshall County, Illinois",104200
17125,"Mason County, Illinois",83100
17127,"Massac County, Illinois",82300
17129,"Menard County, Illinois",132700
17131,"Mercer County, Illinois",98900
17133,"Monroe County, Illinois",192600
17135,"Montgomery County, Illinois",80000
17137,"Morgan County, Illinois",99300
17139,"Moultrie County, Illinois",101600
17141,"Ogle County, Illinois",138500
17143,"Peoria County, Illinois",128800
17145,"Perry County, Illinois",80600
17147,"Piatt County, Illinois",126200
17149,"Pike County, Illinois",74800
17151,"Pope County, Illinois",89300
17153,"Pulaski County, Illinois",60800
17155,"Putnam County, Illinois",119200
17157,"Randolph County, Illinois",97800
17159,"Richland County, Illinois",84500
17161,"Rock Island County, Illinois",114600
17163,"St. Clair County, Illinois",120500
17165,"Saline County, Illinois",71200
17167,"Sangamon County, Illinois",133400
17169,"Schuyler County, Illinois",80100
17171,"Scott County, Illinois",82600
17173,"Shelby County, Illinois",86200
17175,"Stark County, Illinois",83900
17177,"Stephenson County, Illinois",98700
17179,"Tazewell County, Illinois",137200
17181,"Union County, Illinois",94200
17183,"Vermilion County, Illinois",75800
17185,"Wabash County, Illinois",80200
17187,"Warren County, Illinois",82500
17189,"Washington County, Illinois",108600
17191,"Wayne County, Illinois",78000
17193,"White County, Illinois",69000
17195,"Whiteside County, Illinois",99500
17197,"Will County, Illinois",210600
17199,"Williamson County, Illinois",101700
17201,"Winnebago County, Illinois",116200
17203,"Woodford County, Illinois",158600
18001,"Adams County, Indiana",114600
18003,"Allen County, Indiana",116400
18005,"Bartholomew County, Indiana",137500
18007,"Benton County, Indiana",81500
18009,"Blackford County, Indiana",67100
18011,"Boone County, Indiana",195900
18013,"Brown County, Indiana",171600
18015,"Carroll County, Indiana",119200
18017,"Cass County, Indiana",82500
18019,"Clark County, Indiana",129500
18021,"Clay County, Indiana",96600
18023,"Clinton County, Indiana",98700
18025,"Crawford County, Indiana",88600
18027,"Daviess County, Indiana",113600
18029,"Dearborn County, Indiana",159800
18031,"Decatur County, Indiana",119300
18033,"DeKalb County, Indiana",113800
18035,"Delaware County, Indiana",87800
18037,"Dubois County, Indiana",140700
18039,"Elkhart County, Indiana",125300
18041,"Fayette County, Indiana",79900
18043,"Floyd County, Indiana",158300
18045,"Fountain County, Indiana",88300
18047,"Franklin County, Indiana",143000
18049,"Fulton County, Indiana",93700
18051,"Gibson County, Indiana",106300
18053,"Grant County, Indiana",84600
18055,"Greene County, Indiana",91400
18057,"Hamilton County, Indiana",230000
18059,"Hancock County, Indiana",160900
18061,"Harrison County, Indiana",133400
18063,"Hendricks County, Indiana",165200
18065,"Henry County, Indiana",94000
18067,"Howard County, Indiana",97900
18069,"Huntington County, Indiana",99700
18071,"Jackson County, Indiana",115100
18073,"Jasper County, Indiana",149100
18075,"Jay County, Indiana",81100
18077,"Jefferson County, Indiana",112700
18079,"Jennings County, Indiana",97600
18081,"Johnson County, Indiana",146600
18083,"Knox County, Indiana",85100
18085,"Kosciusko County, Indiana",136700
18087,"LaGrange County, Indiana",170600
18089,"Lake County, Indiana",137800
18091,"LaPorte County, Indiana",123700
18093,"Lawrence County, Indiana",103400
18095,"Madison County, Indiana",90800
18097,"Marion County, Indiana",120500
18099,"Marshall County, Indiana",124600
18101,"Martin County, Indiana",95400
18103,"Miami County, Indiana",85600
18105,"Monroe County, Indiana",161300
18107,"Montgomery County, Indiana",111600
18109,"Morgan County, Indiana",144400
18111,"Newton County, Indiana",112500
18113,"Noble County, Indiana",111200
18115,"Ohio County, Indiana",146400
18117,"Orange County, Indiana",88400
18119,"Owen County, Indiana",108500
18121,"Parke County, Indiana",88300
18123,"Perry County, Indiana",100000
18125,"Pike County, Indiana",89500
18127,"Porter County, Indiana",168300
18129,"Posey County, Indiana",136900
18131,"Pulaski County, Indiana",92000
18133,"Putnam County, Indiana",121700
18135,"Randolph County, Indiana",79000
18137,"Ripley County, Indiana",138300
18139,"Rush County, Indiana",100300
18141,"St. Joseph County, Indiana",116800
18143,"Scott County, Indiana",98400
18145,"Shelby County, Indiana",124800
18147,"Spencer County, Indiana",118300
18149,"Starke County, Indiana",99100
